iter	Passed	Remaining
141	803	4855
142	809	4850
143	814	4840
144	819	4830
145	825	4830
146	831	4827
147	836	4817
148	841	4806
149	847	4799
150	851	4789
151	857	4784
152	866	4795
153	874	4804
154	881	4808
155	887	4799
156	895	4805
157	899	4794
158	905	4789
159	910	4779
160	915	4768
161	921	4767
162	927	4762
163	932	4751
164	939	4755
165	945	4750
166	950	4739
167	955	4731
168	961	4728
169	972	4747
170	978	4743
171	985	4745
172	990	4735
173	995	4727
174	1008	4753
175	1017	4763
176	1027	4779
177	1037	4793
178	1051	4822
179	1059	4827
180	1067	4832
181	1077	4841
182	1083	4835
183	1089	4832
184	1094	4821
185	1110	4858
186	1118	4863
187	1124	4856
188	1129	4845
189	1134	4835
190	1140	4829
191	1144	4818
192	1150	4809
193	1155	4802
194	1160	4792
195	1166	4783
196	1172	4777
197	1176	4767
198	1182	4757
199	1187	4748
200	1192	4739
201	1198	4735
202	1207	4739
203	1213	4735
204	1220	4732
205	1225	4723
206	1230	4714
207	1237	4710
208	1244	4708
209	1249	4699
210	1254	4691
211	1260	4684
212	1265	4675
213	1271	4668
214	1276	4662
215	1281	4651
216	1286	4642
217	1292	4638
218	1298	4628
219	1302	4618
220	1308	4611
221	1313	4603
222	1318	4594
223	1325	4593
224	1331	4587
225	1337	4579
226	1342	4571
227	1348	4564
228	1353	4555
229	1358	4546
230	1364	4543
231	1370	4537
232	1375	4528
233	1381	4521
234	1385	4511
235	1390	4502
236	1396	4496
237	1401	4487
238	1407	4480
239	1413	4475
240	1421	4477
241	1428	4473
242	1434	4469
243	1439	4461
244	1446	4456
245	1452	4452
246	1457	4443
247	1463	4438
248	1470	4436
249	1477	4432
250	1482	4423
251	1487	4414
252	1493	4408
253	1498	4400
254	1503	4392
255	1509	4388
256	1515	4381
257	1519	4371
258	1526	4366
259	1531	4358
260	1535	4348
261	1541	4342
262	1547	4337
263	1553	4331
264	1558	4323
265	1563	4314
266	1568	4306
267	1574	4300
268	1580	4294
269	1584	4285
270	1590	4277
271	1595	4269
272	1600	4261
273	1606	4256
274	1611	4248
275	1616	4240
276	1622	4234
277	1627	4227
278	1632	4219
279	1638	4213
280	1645	4209
281	1650	4201
282	1660	4206
283	1665	4199
284	1672	4196
285	1679	4192
286	1685	4187
287	1689	4175
288	1695	4171
289	1702	4167
290	1706	4157
291	1712	4151
292	1720	4150
293	1731	4157
294	1736	4150
295	1743	4147
296	1751	4145
297	1756	4137
298	1763	4134
299	1769	4129
300	1783	4141
301	1795	4150
302	1807	4158
303	1816	4159
304	1825	4158
305	1831	4154
306	1855	4188
307	1862	4185
308	1878	4199
309	1883	4191
310	1889	4185
311	1896	4181
312	1905	4181
313	1914	4182
314	1919	4173
315	1924	4166
316	1931	4161
317	1939	4158
318	1951	4165
319	1960	4166
320	1968	4163
321	1973	4154
322	1979	4148
323	1986	4144
324	1992	4139
325	2000	4135
326	2007	4131
327	2013	4126
328	2018	4116
329	2024	4110
330	2031	4106
331	2041	4108
332	2051	4109
333	2059	4105
334	2065	4100
335	2072	4095
336	2078	4088
337	2083	4081
338	2090	4075
339	2094	4065
340	2099	4056
341	2105	4050
342	2110	4042
343	2115	4034
344	2121	4027
345	2127	4021
346	2132	4012
347	2138	4005
348	2144	3999
349	2149	3991
350	2154	3983
351	2160	3977
352	2166	3971
353	2171	3963
354	2178	3958
355	2185	3953
356	2191	3947
357	2196	3938
358	2202	3932
359	2207	3924
360	2212	3915
361	2218	3910
362	2224	3903
363	2229	3895
364	2236	3890
365	2244	3888
366	2251	3883
367	2256	3875
368	2261	3867
369	2267	3860
370	2273	3855
371	2279	3847
372	2284	3839
373	2289	3832
374	2295	3826
375	2300	3818
376	2307	3813
377	2311	3803
378	2315	3794
379	2322	3789
380	2327	3781
381	2330	3770
382	2335	3762
383	2341	3756
384	2347	3750
385	2355	3746
386	2363	3743
387	2371	3739
388	2378	3735
389	2383	3727
390	2389	3721
391	2399	3720
392	2405	3714
393	2411	3709
394	2417	3703
395	2424	3698
396	2431	3693
397	2439	3689
398	2451	3692
399	2461	3692
400	2477	3700
401	2481	3691
402	2488	3686
403	2495	3681
404	2504	3679
405	2510	3672
406	2517	3667
407	2523	3660
408	2528	3653
409	2538	3653
410	2544	3647
411	2551	3641
412	2558	3636
413	2564	3630
414	2570	3623
415	2576	3616
416	2583	3611
417	2590	3606
418	2595	3598
419	2599	3590
420	2606	3584
421	2611	3576
422	2616	3569
423	2624	3565
424	2632	3561
425	2639	3556
426	2644	3548
427	2649	3541
428	2659	3539
429	2665	3532
430	2672	3528
431	2679	3523
432	2686	3518
433	2691	3510
434	2697	3504
435	2704	3498
436	2709	3490
437	2714	3482
438	2720	3476
439	2725	3469
440	2730	3461
441	2736	3455
442	2743	3449
443	2747	3440
444	2752	3433
445	2758	3426
446	2763	3418
447	2769	3412
448	2776	3406
449	2780	3398
450	2786	3392
451	2794	3387
452	2801	3382
453	2806	3375
454	2811	3367
455	2818	3362
456	2825	3356
457	2831	3351
458	2837	3344
459	2843	3337
460	2852	3334
461	2860	3330
462	2869	3328
463	2876	3322
464	2883	3318
465	2891	3313
466	2898	3308
467	2905	3303
468	2912	3297
469	2919	3292
470	2925	3285
471	2931	3279
472	2939	3274
473	2947	3270
474	2956	3267
475	2964	3263
476	2971	3258
477	2976	3250
478	2982	3243
479	2987	3236
480	2993	3229
481	2998	3222
482	3004	3216
483	3013	3213
484	3031	3218
485	3037	3212
486	3043	3205
487	3050	3200
488	3055	3192
489	3063	3188
490	3070	3183
491	3079	3179
492	3087	3174
493	3094	3169
494	3101	3164
495	3107	3158
496	3113	3150
497	3118	3143
498	3123	3136
499	3129	3129
500	3134	3121
501	3139	3114
502	3144	3107
503	3151	3101
504	3158	3096
505	3166	3091
506	3172	3085
507	3180	3080
508	3186	3073
509	3191	3066
510	3199	3061
511	3204	3054
512	3210	3047
513	3218	3042
514	3223	3035
515	3231	3031
516	3239	3026
517	3246	3020
518	3252	3014
519	3257	3006
520	3264	3001
521	3271	2995
522	3276	2988
523	3281	2980
524	3287	2974
525	3293	2967
526	3298	2960
527	3320	2968
528	3325	2961
529	3330	2953
530	3337	2947
531	3343	2941
532	3351	2936
533	3357	2929
534	3362	2922
535	3368	2915
536	3373	2908
537	3378	2901
538	3384	2894
539	3388	2886
540	3393	2879
541	3400	2873
542	3407	2867
543	3415	2863
544	3422	2857
545	3427	2850
546	3433	2843
547	3440	2838
548	3447	2832
549	3453	2825
550	3461	2820
551	3467	2814
552	3474	2808
553	3482	2803
554	3490	2798
555	3497	2792
556	3503	2786
557	3514	2784
558	3522	2778
559	3527	2771
560	3532	2764
561	3540	2759
562	3547	2753
563	3553	2746
564	3558	2739
565	3565	2734
566	3574	2729
567	3581	2723
568	3586	2716
569	3594	2711
570	3601	2706
571	3608	2700
572	3613	2692
573	3618	2685
574	3625	2679
575	3630	2672
576	3636	2665
577	3642	2659
578	3647	2652
579	3652	2644
580	3658	2638
581	3663	2631
582	3668	2623
583	3673	2617
584	3698	2623
585	3704	2617
586	3709	2609
587	3715	2603
588	3720	2596
589	3726	2589
590	3731	2582
591	3738	2576
592	3745	2570
593	3750	2563
594	3757	2557
595	3764	2551
596	3776	2549
597	3782	2542
598	3788	2536
599	3794	2529
600	3801	2523
601	3809	2518
602	3815	2512
603	3821	2505
604	3827	2498
605	3833	2492
606	3840	2486
607	3857	2486
608	3865	2481
609	3873	2476
610	3880	2470
611	3885	2463
612	3890	2456
613	3896	2449
614	3902	2442
615	3906	2435
616	3913	2429
617	3918	2422
618	3923	2414
619	3929	2408
620	3934	2401
621	3939	2394
622	3946	2388
623	3952	2381
624	3962	2377
625	3968	2371
626	3976	2365
627	3981	2358
628	3986	2351
629	3994	2345
630	3998	2338
631	4004	2331
632	4010	2325
633	4015	2318
634	4020	2310
635	4027	2304
636	4032	2298
637	4039	2291
638	4044	2284
639	4058	2282
640	4065	2276
641	4069	2269
642	4075	2263
643	4083	2257
644	4089	2250
645	4096	2244
646	4101	2237
647	4107	2231
648	4114	2225
649	4122	2219
650	4128	2213
651	4134	2206
652	4141	2200
653	4147	2194
654	4154	2188
655	4164	2183
656	4171	2177
657	4179	2172
658	4186	2166
659	4191	2159
660	4197	2152
661	4204	2146
662	4209	2139
663	4214	2132
664	4221	2126
665	4230	2121
666	4237	2115
667	4243	2108
668	4250	2102
669	4255	2095
670	4261	2089
671	4267	2082
672	4271	2075
673	4279	2069
674	4286	2063
675	4292	2057
676	4298	2050
677	4303	2043
678	4310	2037
679	4316	2031
680	4324	2025
681	4337	2022
682	4343	2016
683	4350	2009
684	4357	2003
685	4364	1997
686	4370	1991
687	4376	1984
688	4383	1978
689	4389	1972
690	4394	1965
691	4400	1958
692	4410	1953
693	4417	1947
694	4424	1941
695	4431	1935
696	4436	1928
697	4441	1921
698	4448	1915
699	4455	1909
700	4461	1902
701	4466	1895
702	4473	1889
703	4479	1883
704	4485	1877
705	4492	1870
706	4498	1864
707	4505	1858
708	4512	1852
709	4518	1845
710	4525	1839
711	4530	1832
712	4536	1826
713	4541	1819
714	4546	1812
715	4555	1806
716	4561	1800
717	4567	1794
718	4572	1787
719	4579	1780
720	4588	1775
721	4595	1769
722	4611	1766
723	4619	1761
724	4627	1755
725	4635	1749
726	4657	1748
727	4666	1743
728	4681	1740
729	4690	1734
730	4697	1728
731	4706	1723
732	4720	1719
733	4726	1713
734	4733	1706
735	4739	1700
736	4745	1693
737	4752	1687
738	4759	1681
739	4766	1674
740	4773	1668
741	4781	1662
742	4788	1656
743	4793	1649
744	4798	1642
745	4804	1635
746	4809	1628
747	4815	1622
748	4838	1621
749	4845	1615
750	4854	1609
751	4862	1603
752	4909	1610
753	4915	1603
754	4927	1598
755	4934	1592
756	4942	1586
757	4949	1580
758	4956	1573
759	4962	1567
760	4968	1560
761	4974	1553
762	4982	1547
763	4993	1542
764	5005	1537
765	5013	1531
766	5023	1525
767	5032	1520
768	5039	1513
769	5052	1509
770	5058	1502
771	5064	1495
772	5071	1489
773	5078	1482
774	5087	1476
775	5094	1470
776	5103	1464
777	5111	1458
778	5121	1452
779	5129	1446
780	5140	1441
781	5146	1434
782	5152	1428
783	5160	1421
784	5172	1416
785	5178	1409
786	5183	1403
787	5188	1395
788	5193	1388
789	5203	1383
790	5209	1376
791	5218	1370
792	5226	1364
793	5233	1357
794	5241	1351
795	5249	1345
796	5254	1338
797	5260	1331
798	5266	1324
799	5274	1318
800	5280	1311
801	5286	1305
802	5291	1298
803	5298	1291
804	5305	1285
805	5310	1278
806	5316	1271
807	5322	1264
808	5330	1258
809	5338	1252
810	5346	1245
811	5351	1238
812	5356	1232
813	5363	1225
814	5370	1219
815	5375	1212
816	5381	1205
817	5387	1198
818	5395	1192
819	5402	1185
820	5409	1179
821	5413	1172
822	5419	1165
823	5426	1158
824	5431	1152
825	5436	1145
826	5443	1138
827	5450	1132
828	5455	1125
829	5460	1118
830	5466	1111
831	5471	1104
832	5476	1097
833	5482	1091
834	5486	1084
835	5492	1077
836	5500	1071
837	5507	1064
838	5515	1058
839	5520	1051
840	5525	1044
841	5531	1037
842	5536	1031
843	5541	1024
844	5547	1017
845	5552	1010
846	5557	1003
847	5562	997
848	5567	990
849	5572	983
850	5577	976
851	5582	969
852	5589	963
853	5595	956
854	5602	950
855	5607	943
856	5612	936
857	5617	929
858	5622	922
859	5630	916
860	5638	910
861	5644	903
862	5652	897
863	5657	890
864	5662	883
865	5669	877
866	5674	870
867	5679	863
868	5684	856
869	5688	850
870	5694	843
871	5700	836
872	5705	830
873	5711	823
874	5717	816
875	5724	810
876	5729	803
877	5734	796
878	5742	790
879	5748	783
880	5754	777
881	5759	770
882	5765	763
883	5773	757
884	5778	750
885	5785	744
886	5790	737
887	5795	730
888	5800	724
889	5805	717
890	5811	710
891	5817	704
892	5822	697
893	5827	690
894	5832	684
895	5838	677
896	5843	671
897	5848	664
898	5854	657
899	5859	651
900	5865	644
901	5871	637
902	5877	631
903	5884	624
904	5892	618
905	5900	612
906	5906	605
907	5912	599
908	5920	592
909	5928	586
910	5935	579
911	5940	573
912	5945	566
913	5951	559
914	5956	553
915	5960	546
916	5967	540
917	5974	533
918	5978	526
919	5986	520
920	5992	513
921	6000	507
922	6005	500
923	6009	494
924	6016	487
925	6020	481
926	6026	474
927	6032	468
928	6038	461
929	6044	454
930	6049	448
931	6056	441
932	6061	435
933	6066	428
934	6073	422
935	6078	415
936	6084	409
937	6089	402
938	6094	395
939	6099	389
940	6105	382
941	6111	376
942	6117	369
943	6122	363
944	6128	356
945	6135	350
946	6139	343
947	6145	337
948	6150	330
949	6155	323
950	6160	317
951	6165	310
952	6170	304
953	6176	297
954	6181	291
955	6186	284
956	6192	278
957	6199	271
958	6204	265
959	6210	258
960	6217	252
961	6223	245
962	6228	239
963	6235	232
964	6242	226
965	6250	219
966	6255	213
967	6260	206
968	6267	200
969	6275	194
970	6282	187
971	6287	181
972	6292	174
973	6299	168
974	6304	161
975	6308	155
976	6315	148
977	6321	142
978	6328	135
979	6333	129
980	6339	122
981	6345	116
982	6350	109
983	6355	103
984	6363	96
985	6369	90
986	6375	83
987	6380	77
988	6386	71
989	6391	64
990	6396	58
991	6402	51
992	6407	45
993	6412	38
994	6418	32
995	6423	25
996	6428	19
997	6434	12
998	6440	6
999	6445	0
