iter	Logloss
0	0.6839918705
1	0.6750005622
2	0.6670575293
3	0.6587325919
4	0.6509714376
5	0.6429143334
6	0.6366234475
7	0.6296372582
8	0.6234486885
9	0.6173694306
10	0.6113061852
11	0.6055632057
12	0.5996498851
13	0.5950936731
14	0.5905624632
15	0.5874188357
16	0.5828644738
17	0.5791437612
18	0.5750274833
19	0.5714370901
20	0.5680539396
21	0.5646149607
22	0.5614717379
23	0.5588606546
24	0.5557742561
25	0.5532998013
26	0.5506244853
27	0.5483391174
28	0.5458092922
29	0.5437307766
30	0.541338679
31	0.5390219384
32	0.5372349516
33	0.535433503
34	0.5335253683
35	0.5315435334
36	0.5297438133
37	0.5282757293
38	0.5265700717
39	0.525146486
40	0.5236073377
41	0.5221215829
42	0.5206222949
43	0.5192225627
44	0.5178403594
45	0.5165871555
46	0.5152910318
47	0.5142311532
48	0.5129434221
49	0.5117057011
50	0.5103261333
51	0.5091164608
52	0.5080296185
53	0.506835774
54	0.5057937145
55	0.5047198632
56	0.5038903333
57	0.5032485165
58	0.5023579836
59	0.5015657405
60	0.500608946
61	0.4997796606
62	0.4989583818
63	0.4981358923
64	0.4974421686
65	0.4966868683
66	0.4961878529
67	0.495527655
68	0.4948833258
69	0.494183052
70	0.4936059703
71	0.492825075
72	0.4922071673
73	0.4916336845
74	0.4911405501
75	0.4906598407
76	0.4900658064
77	0.4894788563
78	0.4889628376
79	0.4882557079
80	0.4876737664
81	0.4872359485
82	0.4867311787
83	0.4862971639
84	0.4858257473
85	0.4852286416
86	0.4848670292
87	0.484467906
88	0.484263242
89	0.4836997557
90	0.4832378132
91	0.4828236283
92	0.4822395607
93	0.4818392658
94	0.4813734731
95	0.4808973754
96	0.4804450449
97	0.4801335781
98	0.4796267543
99	0.4790950895
100	0.4786796749
101	0.4782462526
102	0.4775418695
103	0.4772224927
104	0.4769393772
105	0.4765591077
106	0.4760568994
107	0.4754951113
108	0.4751234992
109	0.4749715643
110	0.4743738152
111	0.4740748671
112	0.473526752
113	0.4732061658
114	0.4729777238
115	0.4726898685
116	0.4724521405
117	0.4721931084
118	0.4719571305
119	0.4716315636
120	0.4714001545
121	0.4710735351
122	0.4709824238
123	0.470580181
124	0.470403819
125	0.4701061843
126	0.4697201818
127	0.4693430555
128	0.4689393402
129	0.4686324246
130	0.4683033458
131	0.4680454993
132	0.4675843629
133	0.4674370788
134	0.4671032674
135	0.4666861806
136	0.4663229968
137	0.4659521345
138	0.4656974523
139	0.4652776732
140	0.4650098819
141	0.4646434702
142	0.4643485024
143	0.4639470318
144	0.4634916024
145	0.4631316656
146	0.462869036
147	0.4627068378
148	0.4624631928
149	0.4621274452
150	0.461834339
151	0.4615706653
152	0.4611590096
